Code,Name,Purpose,content,status
E1000,Cholic acid,emulsifier,"Cholic acid, also known as 3α,7α,12α-trihydroxy-5β-cholan-24-oic acid is a primary bile acid that is insoluble in water (soluble in alcohol and acetic acid),  it is a white crystalline substance.  Salts of cholic acid are called cholates.  Cholic acid, along with chenodeoxycholic acid, is one of the two major bile acids produced by the liver, where it is synthesized from cholesterol.  These two major bile acids are roughly equal in concentration in humans. Derivatives are made from cholyl-CoA, which exchanges its CoA with either glycine, or taurine, yielding glycocholic and taurocholic acid, respectively.Cholic acid downregulates cholesterol-7-α-hydroxylase (rate-limiting step in bile acid synthesis), and cholesterol does the opposite.  This is why chenodeoxycholic acid, and not cholic acid, can be used to treat gallstones (because decreasing bile acid synthesis would supersaturate the stones even more).Cholic acid and chenodeoxycholic acid are the most important human bile acids.  Other species may synthesize different bile acids as their predominant primary bile acids.

",No Status Available
E1001,Choline,emulsifier,"Chlorine is a chemical element with the symbol Cl and atomic number 17. The second-lightest of the halogens, it appears between fluorine and bromine in the periodic table and its properties are mostly intermediate between them. Chlorine is a yellow-green gas at room temperature. It is an extremely reactive element and a strong oxidising agent: among the elements, it has the highest electron affinity and the third-highest electronegativity on the revised Pauling scale, behind only oxygen and fluorine.
Chlorine played an important role in the experiments conducted by medieval alchemists, which commonly involved the heating of chloride salts like ammonium chloride (sal ammoniac) and sodium chloride (common salt), producing various chemical substances containing chlorine such as hydrogen chloride, mercury(II) chloride (corrosive sublimate), and hydrochloric acid (in the form of aqua regia). However, the nature of free chlorine gas as a separate substance was only recognised around 1630 by Jan Baptist van Helmont. Carl Wilhelm Scheele wrote a description of chlorine gas in 1774, supposing it to be an oxide of a new element. In 1809, chemists suggested that the gas might be a pure element, and this was confirmed by Sir Humphry Davy in 1810, who named it after the Ancient Greek χλωρός (khlōrós, ""pale green"") because of its colour.
Because of its great reactivity, all chlorine in the Earth's crust is in the form of ionic chloride compounds, which includes table salt. It is the second-most abundant halogen (after fluorine) and twenty-first most abundant chemical element in Earth's crust. These crustal deposits are nevertheless dwarfed by the huge reserves of chloride in seawater.
Elemental chlorine is commercially produced from brine by electrolysis, predominantly in the chlor-alkali process. The high oxidising potential of elemental chlorine led to the development of commercial bleaches and disinfectants, and a reagent for many processes in the chemical industry. Chlorine is used in the manufacture of a wide range of consumer products, about two-thirds of them organic chemicals such as polyvinyl chloride (PVC), many intermediates for the production of plastics, and other end products which do not contain the element. As a common disinfectant, elemental chlorine and chlorine-generating compounds are used more directly in swimming pools to keep them sanitary. Elemental chlorine at high concentration is extremely dangerous, and poisonous to most living organisms. As a chemical warfare agent, chlorine was first used in World War I as a poison gas weapon.
In the form of chloride ions, chlorine is necessary to all known species of life. Other types of chlorine compounds are rare in living organisms, and artificially produced chlorinated organics range from inert to toxic. In the upper atmosphere, chlorine-containing organic molecules such as chlorofluorocarbons have been implicated in ozone depletion. Small quantities of elemental chlorine are generated by oxidation of chloride ions in neutrophils as part of an immune system response against bacteria.

",No Status Available
E1100,Amylase,"stabiliser, flavour enhancer","An amylase () is an enzyme that catalyses the hydrolysis of starch (Latin amylum) into sugars. Amylase is present in the saliva of humans and some other mammals, where it begins the chemical process of digestion. Foods that contain large amounts of starch but little sugar, such as rice and potatoes, may acquire a slightly sweet taste as they are chewed because amylase degrades some of their starch into sugar. The pancreas and salivary gland make amylase (alpha amylase) to hydrolyse dietary starch into disaccharides and trisaccharides which are converted by other enzymes to glucose to supply the body with energy. Plants and some bacteria also produce amylase. Specific amylase proteins are designated by different Greek letters. All amylases are glycoside hydrolases and act on α-1,4-glycosidic bonds.

",No Status Available
E1101,Proteases,"stabiliser, flavour enhancer","A protease (also called a peptidase, proteinase, or proteolytic enzyme) is an enzyme that catalyzes proteolysis, breaking down proteins into smaller polypeptides or single amino acids, and spurring the formation of new protein products. They do this by cleaving the peptide bonds within proteins by hydrolysis, a reaction where water breaks bonds. Proteases are involved in many biological functions, including digestion of ingested proteins, protein catabolism (breakdown of old proteins), and cell signaling.
In the absence of functional accelerants, proteolysis would be very slow, taking hundreds of years. Proteases can be found in all forms of life and viruses. They have independently evolved multiple times, and different classes of protease can perform the same reaction by completely different catalytic mechanisms.

",No Status Available
E1102,Glucose oxidase,antioxidant,"The glucose oxidase enzyme (GOx or GOD) also known as notatin (EC number 1.1.3.4) is an oxidoreductase that catalyses the oxidation of glucose to hydrogen peroxide and D-glucono-δ-lactone. This enzyme is produced by certain species of fungi and insects and displays antibacterial activity when oxygen and glucose are present.

Glucose oxidase is widely used for the determination of free glucose in body fluids (medical testing), in vegetal raw material, and in the food industry. It also has many applications in biotechnologies, typically enzyme assays for biochemistry including biosensors in nanotechnologies. It was first isolated by Detlev Müller in 1928 from Aspergillus niger.",No Status Available
E1103,Invertase,stabiliser,"β-Fructofuranosidase is an enzyme that catalyzes the hydrolysis (breakdown) of the table sugar sucrose into fructose and glucose. Alternative names for β-fructofuranosidase EC 3.2.1.26 include invertase, saccharase, glucosucrase, β-fructosidase, invertin, sucrase,  fructosylinvertase, alkaline invertase, acid invertase, and the systematic name: β-fructofuranosidase.  The resulting mixture of fructose and glucose is called inverted sugar syrup. Related to invertases are sucrases. Invertases and sucrases hydrolyze sucrose to give the same mixture of glucose and fructose. Invertase is a glycoprotein that hydrolyses (cleaves) the non-reducing terminal β-fructofuranoside residues. Invertases cleave the O-C(fructose) bond, whereas the sucrases cleave the O-C(glucose) bond. Invertase cleaves the α-1,2-glycosidic bond of sucrose.
For industrial use, invertase is usually derived from yeast. It is also synthesized by bees, which use it to make honey from nectar. Optimal temperature at which the rate of reaction is at its greatest is 60 °C and an optimum pH of 4.5.  Typically, sugar is inverted with sulfuric acid.Invertase is produced by various organisms like yeast, fungi, bacteria, higher plants, and animals. For example: Saccharomyces cerevisiae, Saccharomyces carlsbergensis, S. pombe, Aspergillus spp, Penicillium chrysogenum, Azotobacter spp, Lactobacillus spp, Pseudomonas spp etc.",Approved in the EU
E1104,Lipases,Not Available,"Lipase ( LY-payss, LY-payz) is a family of enzymes that catalyzes the hydrolysis of fats. Some lipases display broad substrate scope including esters of cholesterol, phospholipids, and of lipid-soluble vitamins and sphingomyelinases; however, these are usually treated separately from ""conventional"" lipases. Unlike esterases, which function in water, lipases ""are activated only when adsorbed to an oil–water interface"". Lipases perform essential roles in digestion, transport and processing of dietary lipids in most, if not all, organisms.

",No Status Available
E1105,Lysozyme,preservative,"A lysosome () is a membrane-bound organelle found in many animal cells. They are spherical vesicles that contain hydrolytic enzymes that can break down many kinds of biomolecules. A lysosome has a specific composition, of both its membrane proteins, and its lumenal proteins. The lumen's pH (~4.5–5.0) is optimal for the enzymes involved in hydrolysis, analogous to the activity of the stomach. Besides degradation of polymers, the lysosome is involved in various cell processes, including secretion, plasma membrane repair, apoptosis, cell signaling, and energy metabolism.
Lysosomes are termed to be degradative organelles that act as the waste disposal system of the cell by digesting used materials in the cytoplasm, from both inside and outside the cell. Material from outside the cell is taken up through endocytosis, while material from the inside of the cell is digested through autophagy. The sizes of the organelles vary greatly—the larger ones can be more than 10 times the size of the smaller ones. They were discovered and named by Belgian biologist Christian de Duve, who eventually received the Nobel Prize in Physiology or Medicine in 1974.
Lysosomes are known to contain more than 60 different enzymes, and have more than 50 membrane proteins. Enzymes of the lysosomes are synthesized in the rough endoplasmic reticulum and exported to the Golgi apparatus upon recruitment by a complex composed of CLN6 and CLN8 proteins. The enzymes are trafficked from the Golgi apparatus to lysosomes in small vesicles, which fuse with larger acidic vesicles. Enzymes destined for a lysosome are specifically tagged with the molecule mannose 6-phosphate, so that they are properly sorted into acidified vesicles.In 2009, Marco Sardiello and co-workers discovered that the synthesis of most lysosomal enzymes and membrane proteins is controlled by transcription factor EB (TFEB), which promotes the transcription of nuclear genes. Mutations in the genes for these enzymes are responsible for more than 50 different human genetic disorders, which are collectively known as lysosomal storage diseases. These diseases result from an accumulation of specific substrates, due to the inability to break them down. These genetic defects are related to several neurodegenerative disorders, cancers, cardiovascular diseases, and aging-related diseases.",No Status Available
E1200,Polydextrose,"stabiliser, thickening agent, humectant, carrier","Polydextrose is a synthetic polymer of glucose. It is a food ingredient classified as soluble fiber by the US FDA as well as Health Canada, as of April 2013. It is frequently used to increase the dietary fiber content of food, to replace sugar, and to reduce calories and fat content. It is a multi-purpose food ingredient synthesized from dextrose (glucose), plus about 10 percent sorbitol and 1 percent citric acid. Its E number is E1200. The FDA approved it in 1981.
It is 0.1 times as sweet as sugar.",Approved in the EU
E1201,Polyvinylpyrrolidone,stabiliser,"Polyvinylpyrrolidone (PVP), also commonly called polyvidone or povidone, is a water-soluble polymer compound made from the monomer N-vinylpyrrolidone. PVP is available in a range of molecular weights and related viscosities, and can be selected according to the desired application properties.

",Approved in the EU
