Code,Name,Purpose,content,status
E701,Tetracyclines,antibiotic,"Tetracyclines are a group of broad-spectrum antibiotic compounds that have a common basic structure and are either isolated directly from several species of Streptomyces bacteria or produced semi-synthetically from those isolated compounds. Tetracycline molecules comprise a linear fused tetracyclic nucleus (rings designated A, B, C and D) to which a variety of functional groups are attached. Tetracyclines are named after their four (""tetra-"") hydrocarbon rings (""-cycl-"") derivation (""-ine""). They are defined as a subclass of polyketides, having an octahydrotetracene-2-carboxamide skeleton and are known as derivatives of polycyclic naphthacene carboxamide.
While all tetracyclines have a common structure, they differ from each other by the presence of chloride, methyl, and hydroxyl groups. These modifications do not change their broad antibacterial activity, but do affect pharmacological properties such as half-life and binding to proteins in serum.Tetracyclines were discovered in the 1940s and exhibited activity against a wide range of microorganisms including gram-positive and gram-negative bacteria, chlamydiota, mycoplasmatota, rickettsiae, and protozoan parasites. Tetracycline itself was discovered later than chlortetracycline and oxytetracycline but is still considered as the parent compound for nomenclature purposes.
Tetracyclines are among the cheapest classes of antibiotics available and have been used extensively in prophylaxis and in treatment of human and animal infections, as well as at subtherapeutic levels in animal feed as growth promoters.Tetracyclines are growth inhibitors (bacteriostatic) rather than killers of the infectious agent (bacteriocidal) and are only effective against multiplying microorganisms. They are short-acting and passively diffuse through porin channels in the bacterial membrane. They inhibit protein synthesis by binding reversibly to the bacterial 30S ribosomal subunit and preventing the aminoacyl tRNA from binding to the A site of the ribosome. They also bind to some extent the bacterial 50S ribosomal subunit and may alter the cytoplasmic membrane causing intracellular components to leak from bacterial cells.
Tetracyclines all have the same antibacterial spectrum, although there are differences in species' sensitivity to types of tetracyclines. Tetracyclines inhibit protein synthesis in both bacterial and human cells. Bacteria have a system that allows tetracyclines to be transported into the cell, whereas human cells do not. Human cells therefore are spared the effects of tetracycline on protein synthesis.Tetracyclines retain an important role in medicine, although their usefulness has been reduced with the onset of antibiotic resistance. Tetracyclines remain the treatment of choice for some specific indications.
Because not all of the tetracycline administered orally is absorbed from the gastrointestinal tract, the bacterial population of the intestine can become resistant to tetracyclines, resulting in overgrowth of resistant organisms. The widespread use of tetracyclines is thought to have contributed to an increase in the number of tetracycline-resistant organisms, in turn rendering certain infections more resilient to treatment.
Tetracycline resistance is often due to the acquisition of new genes, which code for energy-dependent efflux of tetracyclines or for a protein that protects bacterial ribosomes from the action of tetracyclines. Furthermore, a limited number of bacteria acquire resistance to tetracyclines by mutations.

",No Status Available
E702,Chlortetracycline,antibiotic,"Chlortetracycline (trade name Aureomycin, Lederle Laboratories) is a tetracycline antibiotic, the first tetracycline to be identified. It was discovered in 1945 at Lederle Laboratories under the supervision of scientist Yellapragada Subbarow, Benjamin Minge Duggar. They were helped by Louis T. Wright, a surgeon who conducted this medications first human experiments. Duggar identified the antibiotic as the product of an actinomycete he cultured from a soil sample collected from Sanborn Field at the University of Missouri.  The organism was named Streptomyces aureofaciens and the isolated drug, Aureomycin, because of their golden color.It is on the World Health Organization's List of Essential Medicines.",No Status Available
E703,Oxytetracycline,antibiotic,"Oxytetracycline is a broad-spectrum tetracycline antibiotic, the second of the group to be discovered.
Oxytetracycline works by interfering with the ability of bacteria to produce essential proteins. Without these proteins, the bacteria cannot grow, multiply and increase in numbers. Oxytetracycline therefore stops the spread of the infection and the remaining bacteria are killed by the immune system or eventually die.
Oxytetracycline is a broad-spectrum antibiotic, active against a wide variety of bacteria. However, some strains of bacteria have developed resistance to this antibiotic, which has reduced its effectiveness for treating some types of infections.
Oxytetracycline is used to treat infections caused by Chlamydia (e.g. the chest infection psittacosis, the eye infection trachoma, and the genital infection urethritis) and infections caused by Mycoplasma organisms (e.g. pneumonia).
Oxytetracycline is also used to treat acne, due to its activity against the bacteria on the skin that influence the development of acne (Cutibacterium acnes). It is used to treat flare-ups of chronic bronchitis, due to its activity against the bacteria usually responsible, Haemophilus influenzae. Oxytetracycline may also be used to treat other rarer infections, such as those caused by a group of micro-organisms called rickettsiae (e.g. Rocky Mountain spotted fever). To make sure the bacteria causing an infection are susceptible to it, a tissue sample is usually taken, for example a swab from the infected area, or a urine or blood sample.
Oxytetracycline was patented in 1949 and came into commercial use in 1950. It is on the World Health Organization's List of Essential Medicines as an alternative to tetracycline.",No Status Available
E704,Oleandomycin,antibiotic,"Troleandomycin (TAO for short) is a macrolide antibiotic. It was sold in Italy (branded Triocetin) and Turkey (branded Tekmisin). It is no longer sold in Italy as of 2018.The drug's mode of action is to bind to the ribosome, specifically in the tunnel through which the newly formed peptide egresses, thereby halting protein synthesis.
Troleandomycin is a CYP3A4 inhibitor that may cause drug interactions.",No Status Available
E705,Penicillin G potassium,antibiotic,"Benzylpenicillin, also known as penicillin G (PenG) or BENPEN, and in US military slang ""Peanut Butter Shot"" is an antibiotic used to treat a number of bacterial infections. This includes pneumonia, strep throat, syphilis, necrotizing enterocolitis, diphtheria, gas gangrene, leptospirosis, cellulitis, and tetanus. It is not a first-line agent for pneumococcal meningitis. Due to benzylpenicillin's limited bioavailability for oral medications, it is generally taken as an injection in the form of a sodium, potassium, benzathine, or procaine salt. Benzylpenicillin is given by injection into a vein or muscle. Two long-acting forms benzathine benzylpenicillin and procaine benzylpenicillin are available for use by injection into a muscle only.Side effects include diarrhea, seizures, and allergic reactions including anaphylaxis. When used to treat syphilis or Lyme disease a reaction known as Jarisch–Herxheimer may occur. It is not recommended in those with a history of penicillin allergy. Use during pregnancy is generally safe in the penicillin and β-lactam class of medications.Benzylpenicillin is on the World Health Organization's List of Essential Medicines.",No Status Available
E706,Penicillin G sodium,antibiotic,"Benzylpenicillin, also known as penicillin G (PenG) or BENPEN, and in US military slang ""Peanut Butter Shot"" is an antibiotic used to treat a number of bacterial infections. This includes pneumonia, strep throat, syphilis, necrotizing enterocolitis, diphtheria, gas gangrene, leptospirosis, cellulitis, and tetanus. It is not a first-line agent for pneumococcal meningitis. Due to benzylpenicillin's limited bioavailability for oral medications, it is generally taken as an injection in the form of a sodium, potassium, benzathine, or procaine salt. Benzylpenicillin is given by injection into a vein or muscle. Two long-acting forms benzathine benzylpenicillin and procaine benzylpenicillin are available for use by injection into a muscle only.Side effects include diarrhea, seizures, and allergic reactions including anaphylaxis. When used to treat syphilis or Lyme disease a reaction known as Jarisch–Herxheimer may occur. It is not recommended in those with a history of penicillin allergy. Use during pregnancy is generally safe in the penicillin and β-lactam class of medications.Benzylpenicillin is on the World Health Organization's List of Essential Medicines.",No Status Available
E707,Penicillin G procaine,antibiotic,"Procaine benzylpenicillin also known as penicillin G procaine, is an antibiotic useful for the treatment of a number of bacterial infections. Specifically it is used for syphilis, anthrax, mouth infections, pneumonia, diphtheria, cellulitis, and animal bites. It is given by injection into a muscle.Side effects include pain at the site of injection, blood clotting problems, seizures, and allergic reactions including anaphylaxis. When used to treat syphilis a reaction known as Jarisch-Herxheimer may occur. It is not recommended in those with a history of penicillin allergy or procaine allergy. Use during pregnancy and breastfeeding is relatively safe. Procaine benzylpenicillin is in the penicillin and beta lactam family of medications. It works via benzylpenicillin and results in bacterial death. Procaine makes the combination long acting.Procaine benzylpenicillin was introduced for medical use in 1948. It is on the World Health Organization's List of Essential Medicines.",No Status Available
E708,Penicillin G benzathine,antibiotic,"Benzathine benzylpenicillin, also known as benzathine penicillin G, is an antibiotic medication useful for the treatment of a number of bacterial infections. Specifically it is used to treat strep throat, diphtheria, syphilis, and yaws. It is also used to prevent rheumatic fever. It is given by injection into a muscle.Side effects include allergic reactions including anaphylaxis, and pain at the site of injection. When used to treat syphilis a reaction known as Jarisch-Herxheimer may occur. It is not recommended in those with a history of penicillin allergy or those with syphilis involving the nervous system. Use during pregnancy is generally safe. It is in the penicillin and beta lactam class of medications and works via benzylpenicillin. The benzathine component slowly releases the penicillin making the combination long acting.Benzathine benzylpenicillin was patented in 1950. It is on the World Health Organization's List of Essential Medicines.",No Status Available
E710,Spiramycins,antibiotic,"Spiramycin is a macrolide antibiotic and antiparasitic. It is used to treat toxoplasmosis and various other infections of soft tissues. Although used in Europe, Canada and Mexico, spiramycin is still considered an experimental drug in the United States, but can sometimes be obtained by special permission from the FDA for toxoplasmosis in the first trimester of pregnancy. Another treatment option (typically used after 16w gestation) are a combination of pyrimethamine and sulfadiazine (given with leucovorin).Spiramycin has been used in Europe since the year 2000 under the trade name ""Rovamycine"", produced by Rhone-Poulenc Rorer, Sanofi and Famar Lyon, France and Eczacıbaşı İlaç, Turkey. It also goes under the name Rovamycine in Canada (distributed by OdanLaboratories), where it is mostly marketed to dentists for mouth infections.Spiramycin is a 16-membered ring macrolide. It was isolated in 1954 as a product of Streptomyces ambofaciens by PINNERT-SINDICO. As a preparation for oral administration it has been used since 1955, in 1987 also the parenteral form was introduced into practice. The antibiotic action involves inhibition of protein synthesis in the bacterial cell during translocation. Resistance to spiramycin can develop by several mechanisms and its prevalence is to a considerable extent proportional to the frequency of prescription in a given area. The antibacterial spectrum comprises Gram-positive cocci and rods, Gram-negative cocci and also Legionellae, mycoplasmas, chlamydiae, some types of spirochetes, Toxoplasma gondii and Cryptosporidium species. Enterobacteria, pseudomonads and pathogenic moulds are resistant. Its action is mainly bacteriostatic, on highly sensitive strains it exerts a bactericide action. As compared with erythromycin, it is in vitro weight for weight 5 to 20 less effective, an equipotential therapeutic dose is, however, only double. This difference between the effectiveness in vitro and in vivo is explained above all by the great affinity of spiramycin to tissues where it achieves concentrations many times higher than serum levels. An important part is played also by the slow release of the antibiotic from the tissue compartment, the marked action on microbes in sub-inhibition concentrations and the relatively long persisting post-antibiotic effect. Its great advantage is the exceptionally favourable tolerance-gastrointestinal and general. It is available for parenteral and oral administration",No Status Available
E711,Virginiamycins,antibiotic,"Virginiamycin is a streptogramin antibiotic similar to pristinamycin and quinupristin/dalfopristin. It is a combination of pristinamycin IIA (virginiamycin M1) and virginiamycin S1. Virginiamycin is used in the fuel ethanol industry to prevent microbial contamination.  It is also used in agriculture, specifically in livestock, to accelerate the growth of the animals and to prevent and treat infections.  Antibiotics also save as much as 30% in feed costs among young swine, although the savings fade as pigs get older, according to a USDA study.",No Status Available
