Code,Name,Purpose,content,status
E900,Dimethyl polysiloxane,anti-caking agent,"Polydimethylsiloxane (PDMS), also known as dimethylpolysiloxane or dimethicone, is a silicone polymer with a wide variety of uses, from cosmetics to industrial lubrication.It is particularly known for its unusual rheological (or flow) properties. PDMS is optically clear and, in general, inert, non-toxic, and non-flammable. It is one of several types of silicone oil (polymerized siloxane). Its applications range from contact lenses and medical devices to elastomers; it is also present in shampoos (as it makes hair shiny and slippery), food (antifoaming agent), caulk, lubricants and heat-resistant tiles.",Approved in the EU
E901,Beeswax,glazing agent,No Information Available,Approved in the EU
E902,Candelilla wax,glazing agent,"Candelilla wax is a wax derived from the leaves of the small Candelilla shrub native to northern Mexico and the southwestern United States, Euphorbia antisyphilitica, from the family Euphorbiaceae. It is yellowish-brown, hard, brittle, aromatic, and opaque to translucent.",Approved in the EU
E903,Carnauba wax,glazing agent,"Carnauba (; Portuguese: carnaúba [kaʁnaˈubɐ]), also called Brazil wax and palm wax, is a wax of the leaves of the carnauba palm Copernicia prunifera (synonym: Copernicia cerifera), a plant native to and grown only in the northeastern Brazilian states of Ceará, Piauí, Pernambuco,  Rio Grande do Norte, Maranhão and Bahia. It is known as the ""Queen of Waxes"". In its pure state, it is usually available in the form of hard yellow-brown flakes. It is obtained by collecting and drying the leaves, beating them to loosen the wax, then refining and bleaching it.
As a food additive, its E number is E903.",Approved in the EU
E904,Shellac,glazing agent,"Shelia may refer to:

Shelia Burrell (born 1972), retired American heptathlete
Shelia Conover (born 1963), American sprint canoeist
Shelia Eddy (born 1995), American convicted of murder
Shelia Goss (born 1968), American author, freelance writer, and screenwriter
Shelia Jordan, the Mayor of Galway from 1977 to 1978
Shelia P. Moses, African-American writer whose subjects include comedian Dick Gregory and Buddy Bush",Approved in the EU
E905,Paraffins,Not Available,"Paraffin wax (or petroleum wax) is a soft colorless solid derived from petroleum, coal, or oil shale that consists of a mixture of hydrocarbon molecules containing between 20 and 40 carbon atoms. It is solid at room temperature and begins to melt above approximately 37 °C (99 °F), and its boiling point is above 370 °C (698 °F). Common applications for paraffin wax include lubrication, electrical insulation, and candles; dyed paraffin wax can be made into crayons. It is distinct from kerosene and other petroleum products that are sometimes called paraffin.Un-dyed, unscented paraffin candles are odorless and bluish-white. Paraffin wax was first created by Carl Reichenbach in Germany in 1830 and marked a major advancement in candlemaking technology, as it burned more cleanly and reliably than tallow candles and was cheaper to produce.In chemistry, paraffin is used synonymously with alkane, indicating hydrocarbons with the general formula CnH2n+2. The name is derived from Latin parum (""very little"") + affinis, meaning ""lacking affinity"" or ""lacking reactivity"", referring to paraffin's unreactive nature.

",Approved in the EU
E905a,Mineral oil,anti-foaming agent,"Mineral oil is any of various colorless, odorless, light mixtures of higher alkanes from a mineral source, particularly a distillate of petroleum, as distinct from usually edible vegetable oils.
The name 'mineral oil' by itself is imprecise, having been used for many specific oils over the past few centuries. Other names, similarly imprecise, include 'white oil', 'paraffin oil', 'liquid paraffin' (a highly refined medical grade), paraffinum liquidum (Latin), and 'liquid petroleum'.
Most often, mineral oil is a liquid obtained from refining crude oil to make gasoline and other petroleum products. Mineral oils used for lubrication are known specifically as base oils. More generally, mineral oil is a transparent, colorless oil, composed mainly of alkanes and cycloalkanes, related to petroleum jelly. It has a density of around 0.8–0.87 g/cm3 (0.029–0.031 lb/cu in).

",No Status Available
E905b,Petrolatum,Not Available,"Petroleum, also known as crude oil, or simply oil, is a naturally occurring yellowish-black liquid mixture of mainly hydrocarbons, and is found in geological formations. The name petroleum covers both naturally occurring unprocessed crude oil and petroleum products that consist of refined crude oil. A fossil fuel, petroleum is formed when large quantities of dead organisms, mostly zooplankton and algae, are buried underneath sedimentary rock and subjected to both prolonged heat and pressure.
Petroleum is primarily recovered by oil drilling. Drilling is carried out after studies of structural geology, sedimentary basin analysis, and reservoir characterisation. Unconventional reserves such as oil sands and oil shale. 
Once extracted, oil is refined and separated, most easily by distillation, into innumerable products for direct use or use in manufacturing. Products include fuels such as gasoline (petrol), diesel, kerosene and jet fuel; asphalt and lubricants; chemical reagents used to make plastics; solvents, textiles, refrigerants, paint, synthetic rubber, fertilizers, pesticides, pharmaceuticals, and thousands of others. Petroleum is used in manufacturing a vast variety of materials essential for modern life, and it is estimated that the world consumes about 100 million barrels (16 million cubic metres) each day. Petroleum production can be extremely profitable and was critical to global economic development in the 20th century, with some countries, so-called ""oil states"", gaining significant economic and international power because of their control of oil production.
Petroleum exploitation can be damaging to the environment and human health. Extraction, refining and burning of petroleum fuels all release large quantities of greenhouse gases, so petroleum is one of the major contributors to climate change. Other negative environmental effects include direct releases, such as oil spills, and as well as air and water pollution at almost all stages of use. These environmental effects have direct and indirect health consequences for humans. Oil has also been a source of internal and inter-state conflict, leading to both state-led wars and other resource conflicts.  Production of petroleum is estimated to reach peak oil before 2035 as global economies lower dependencies on petroleum as part of climate change mitigation and a transition towards renewable energy and electrification.",No Status Available
E905c,Petroleum wax,glazing agent,"Paraffin wax (or petroleum wax) is a soft colorless solid derived from petroleum, coal, or oil shale that consists of a mixture of hydrocarbon molecules containing between 20 and 40 carbon atoms. It is solid at room temperature and begins to melt above approximately 37 °C (99 °F), and its boiling point is above 370 °C (698 °F). Common applications for paraffin wax include lubrication, electrical insulation, and candles; dyed paraffin wax can be made into crayons. It is distinct from kerosene and other petroleum products that are sometimes called paraffin.Un-dyed, unscented paraffin candles are odorless and bluish-white. Paraffin wax was first created by Carl Reichenbach in Germany in 1830 and marked a major advancement in candlemaking technology, as it burned more cleanly and reliably than tallow candles and was cheaper to produce.In chemistry, paraffin is used synonymously with alkane, indicating hydrocarbons with the general formula CnH2n+2. The name is derived from Latin parum (""very little"") + affinis, meaning ""lacking affinity"" or ""lacking reactivity"", referring to paraffin's unreactive nature.

",No Status Available
E906,Gum benzoic,flavour enhancer,"Benzoin  or benjamin (corrupted pronunciation) is a balsamic resin obtained from the bark of several species of trees in the genus Styrax. It is used in perfumes and some kinds of incense and as a flavoring and medicine (see tincture of benzoin). It is distinct from the chemical compound benzoin, which is ultimately derived chemically from benzoin resin; the primary active ingredient of benzoin resin is actually benzoic acid not benzoin.
Benzoin is sometimes called gum benzoin or gum benjamin, and in India Sambrani or loban, though loban is, via Arabic lubān, a generic term for frankincense-type incense, e.g., fragrant tree resin. The syllable ""benz"" ultimately derives from the Arabic lubān jāwī (لبان جاوي, ""frankincense from Java""). 
Benzoin is also called storax, not to be confused with the balsam of the same name obtained from the Hamamelidaceae family.
Benzoin is a common ingredient in incense-making and perfumery because of its sweet vanilla-like aroma and fixative properties. Gum benzoin is a major component of the type of church incense used in Russia and some other Eastern Orthodox Christian societies, as well as Latin Catholic churches. Most benzoin is used in the Arabian Peninsula and Hindu temples of India, where it is burned on charcoal as an incense. It is also used in the production of Bakhoor (Arabic بخور - scented wood chips) as well as various mixed resin incense in the Arab countries and the Horn of Africa. Benzoin is also used in blended types of Japanese incense, Indian incense, Chinese incense (known as Anxi xiang; 安息香), and Papier d'Arménie as well as incense sticks.
There are two common kinds of benzoin, benzoin Siam and benzoin Sumatra. Benzoin Siam is obtained from Styrax tonkinensis, found across Thailand, Laos, Cambodia, and Vietnam. Benzoin Sumatra is obtained from Styrax benzoin, which grows predominantly on the island of Sumatra. Unlike Siamese benzoin, Sumatran benzoin contains cinnamic acid in addition to benzoic acid. In the United States, Sumatra benzoin (Styrax benzoin and Styrax paralleoneurus) is more customarily used in pharmaceutical preparations, Siam benzoin (Styrax tonkinensis etc.) in the flavor and fragrance industries.In perfumery, benzoin is used as a fixative, slowing the dispersion of essential oils and other fragrance materials into the air. Benzoin is used in cosmetics, veterinary medicine, and scented candles. It is used as a flavoring in alcoholic and nonalcoholic beverages, baked goods, chewing gum, frozen dairy, gelatins, puddings, and soft candy.
In anesthesia and surgery, it is used as an adhesive to secure wound and catheter dressing and is available as a sterile preparation.",No Status Available
