Code,Name,Purpose,content,status
E300,Ascorbic acid,antioxidant,No Information Available,Approved in the EU
E301,Sodium ascorbate,antioxidant,"Sodium ascorbate is one of a number of mineral salts of ascorbic acid (vitamin C). The molecular formula of this chemical compound is C6H7NaO6. As the sodium salt of ascorbic acid, it is known as a mineral ascorbate. It has not been demonstrated to be more bioavailable than any other form of vitamin C supplement.Sodium ascorbate normally provides 131 mg of sodium per 1,000 mg of ascorbic acid (1,000 mg of sodium ascorbate contains 889 mg of ascorbic acid and 111 mg of sodium).
As a food additive, it has the E number E301 and is used as an antioxidant and an acidity regulator. It is approved for use as a food additive in the EU, USA, Australia, and New Zealand.In in vitro studies, sodium ascorbate has been found to produce cytotoxic effects in various malignant cell lines, which include melanoma cells that are particularly susceptible.",Approved in the EU
E302,Calcium ascorbate,antioxidant,"Calcium ascorbate is a compound with the molecular formula CaC12H14O12. It is the calcium salt of ascorbic acid, one of the mineral ascorbates. It is approximately 10% calcium by mass.
As a food additive, it has the E number E 302. It is approved for use as a food in the EU, USA and Australia and New Zealand.

",Approved in the EU
E303,Potassium ascorbate,antioxidant,"Potassium ascorbate is a compound with formula KC6H7O6. It is the potassium salt of ascorbic acid (vitamin C) and a mineral ascorbate.  As a food additive, it has E number E303, INS number 303. Although it is not a permitted food additive in the UK, USA and the EU, it is approved for use in Australia and New Zealand. According to some studies, it has shown a strong antioxidant activity and antitumoral properties.

",No Status Available
E304,Fatty acid,antioxidant,"In chemistry, particularly in biochemistry, a fatty acid is a carboxylic acid with an aliphatic chain, which is either saturated or unsaturated. Most naturally occurring fatty acids have an unbranched chain of an even number of carbon atoms, from 4 to 28. Fatty acids are a major component of the lipids (up to 70% by weight) in some species such as microalgae but in some other organisms are not found in their standalone form, but instead exist as three main classes of esters: triglycerides, phospholipids, and cholesteryl esters. In any of these forms, fatty acids are both important dietary sources of fuel for animals and important structural components for cells.",Approved in the EU
E305,Ascorbyl stearate,antioxidant,"Ascorbyl stearate (C24H42O7) is an ester formed from ascorbic acid and stearic acid.  In addition to its use as a source of vitamin C, it is used as an antioxidant food additive in margarine (E number E305). The USDA limits its use to 0.02% individually or in conjunction with other antioxidants.",No Status Available
E306,Tocopherols,antioxidant,"Tocopherols (; TCP) are a class of organic compounds comprising various methylated phenols, many of which have vitamin E activity. Because the vitamin activity was first identified in 1936 from a dietary fertility factor in rats, it was named tocopherol, from Greek τόκος tókos 'birth' and φέρειν  phérein 'to bear or carry', that is 'to carry a pregnancy', with the ending -ol signifying its status as a chemical alcohol.
α-Tocopherol is the main source found in supplements and in the European diet, where the main dietary sources are olive and sunflower oils, while γ-tocopherol is the most common form in the American diet due to a higher intake of soybean and corn oil.Tocotrienols, which are related compounds, also have vitamin E activity. All of these various derivatives with vitamin activity may correctly be referred to as ""vitamin E"". Tocopherols and tocotrienols are fat-soluble antioxidants but also seem to have many other functions in the body.",Approved in the EU
E307,Alpha-Tocopherol,antioxidant,"Tocopherols (; TCP) are a class of organic compounds comprising various methylated phenols, many of which have vitamin E activity. Because the vitamin activity was first identified in 1936 from a dietary fertility factor in rats, it was named tocopherol, from Greek τόκος tókos 'birth' and φέρειν  phérein 'to bear or carry', that is 'to carry a pregnancy', with the ending -ol signifying its status as a chemical alcohol.
α-Tocopherol is the main source found in supplements and in the European diet, where the main dietary sources are olive and sunflower oils, while γ-tocopherol is the most common form in the American diet due to a higher intake of soybean and corn oil.Tocotrienols, which are related compounds, also have vitamin E activity. All of these various derivatives with vitamin activity may correctly be referred to as ""vitamin E"". Tocopherols and tocotrienols are fat-soluble antioxidants but also seem to have many other functions in the body.",Approved in the EU
E308,Gamma-Tocopherol,antioxidant,"γ-Tocopherol (gamma-tocopherol) is a tocopherol and one of the chemical compounds that comprise vitamin E.  As a food additive, it has E number E308.",Approved in the EU
E309,Delta-Tocopherol,antioxidant,"δ-Tocopherol (delta-tocopherol) is a tocopherol and one of the chemical compounds that is considered vitamin E.  As a food additive, it has E number E309.",Approved in the EU
