Code,Name,Purpose,content,status
E400,Alginic acid,emulsifier,No Information Available,Approved in the EU
E401,Sodium alginate,emulsifier,"Alginic acid, also called algin, is a naturally occurring, edible polysaccharide found in brown algae.  It is hydrophilic and forms a viscous gum when hydrated. With metals such as sodium and calcium, its salts are known as alginates. Its colour ranges from white to yellowish-brown. It is sold in filamentous, granular, or powdered forms. 
It is a significant component of the biofilms produced by the bacterium Pseudomonas aeruginosa, a major pathogen found in the lungs of some people who have cystic fibrosis. The biofilm and P. aeruginosa have a high resistance to antibiotics, but susceptible to inhibition by macrophages.

",Approved in the EU
E402,Potassium alginate,emulsifier,"Alginic acid, also called algin, is a naturally occurring, edible polysaccharide found in brown algae.  It is hydrophilic and forms a viscous gum when hydrated. With metals such as sodium and calcium, its salts are known as alginates. Its colour ranges from white to yellowish-brown. It is sold in filamentous, granular, or powdered forms. 
It is a significant component of the biofilms produced by the bacterium Pseudomonas aeruginosa, a major pathogen found in the lungs of some people who have cystic fibrosis. The biofilm and P. aeruginosa have a high resistance to antibiotics, but susceptible to inhibition by macrophages.

",Approved in the EU
E403,Ammonium alginate,emulsifier,No Information Available,Approved in the EU
E404,Calcium alginate,emulsifier,"Calcium alginate is a water-insoluble, gelatinous, cream-coloured substance that can be created through the addition of aqueous calcium chloride to aqueous sodium alginate. Calcium alginate is also used for entrapment of enzymes and forming artificial seeds in plant tissue culture.
""Alginate"" is usually the salts of alginic acid, but it can also refer to derivatives of alginic acid and alginic acid itself; in some publications the term ""algin"" is used instead of alginate. Alginate is present in the cell walls of brown algae, as the calcium, magnesium and sodium salts of alginic acid.

",Approved in the EU
E405,"Propane-1,2-diol alginate",emulsifier,No Information Available,Approved in the EU
E406,Agar,stabiliser,No Information Available,Approved in the EU
E407,Carrageenan,emulsifier,"Carrageenans or carrageenins ( KARR-ə-GHEE-nənz; from Irish  carraigín 'little rock') are a family of natural linear sulfated polysaccharides that are extracted from red edible seaweeds. Carrageenans are widely used in the food industry, for their gelling, thickening, and stabilizing properties. Their main application is in dairy and meat products, due to their strong binding to food proteins. In recent years, carrageenans have emerged as a promising candidate in tissue engineering and regenerative medicine applications as they resemble native glycosaminoglycans (GAGs). They have been mainly used for tissue engineering, wound coverage, and drug delivery.Carrageenans contain 15–40% ester-sulfate content, which makes them anionic polysaccharides. They can be mainly categorized into three different classes based on their sulfate content. Kappa-carrageenan has one sulfate group per disaccharide, iota-carrageenan has two, and lambda-carrageenan has three.The most well-known and most important red seaweed used for manufacturing the hydrophilic colloids to produce carrageenan is Chondrus crispus (Irish moss), which is a dark red parsley-like alga that grows attached to rocks. Gelatinous extracts of the Chondrus crispus seaweed have been used as food additives since approximately the fifteenth century. Carrageenan is a vegetarian and vegan alternative to gelatin in some applications, so may be used to replace gelatin in confectionery and other food. There is no clinical evidence for carrageenan as an unsafe food ingredient, mainly because its fate after digestion is inadequately determined.The first industrial scale commercial cultivation of Eucheuma and Kappaphycus spp. for carrageenan was developed in the Philippines. The global top producers of carrageenan are the Philippines and Indonesia. Carrageenan, along with agar, are used to produce traditional jelly desserts in the Philippines called gulaman.",Approved in the EU
E407a,Processed eucheuma seaweed,emulsifier,"Carrageenans or carrageenins ( KARR-ə-GHEE-nənz; from Irish  carraigín 'little rock') are a family of natural linear sulfated polysaccharides that are extracted from red edible seaweeds. Carrageenans are widely used in the food industry, for their gelling, thickening, and stabilizing properties. Their main application is in dairy and meat products, due to their strong binding to food proteins. In recent years, carrageenans have emerged as a promising candidate in tissue engineering and regenerative medicine applications as they resemble native glycosaminoglycans (GAGs). They have been mainly used for tissue engineering, wound coverage, and drug delivery.Carrageenans contain 15–40% ester-sulfate content, which makes them anionic polysaccharides. They can be mainly categorized into three different classes based on their sulfate content. Kappa-carrageenan has one sulfate group per disaccharide, iota-carrageenan has two, and lambda-carrageenan has three.The most well-known and most important red seaweed used for manufacturing the hydrophilic colloids to produce carrageenan is Chondrus crispus (Irish moss), which is a dark red parsley-like alga that grows attached to rocks. Gelatinous extracts of the Chondrus crispus seaweed have been used as food additives since approximately the fifteenth century. Carrageenan is a vegetarian and vegan alternative to gelatin in some applications, so may be used to replace gelatin in confectionery and other food. There is no clinical evidence for carrageenan as an unsafe food ingredient, mainly because its fate after digestion is inadequately determined.The first industrial scale commercial cultivation of Eucheuma and Kappaphycus spp. for carrageenan was developed in the Philippines. The global top producers of carrageenan are the Philippines and Indonesia. Carrageenan, along with agar, are used to produce traditional jelly desserts in the Philippines called gulaman.",Approved in the EU
E408,Bakers yeast glycan,Not Available,No Information Available,No Status Available
E409,Arabinogalactan,Not Available,"Arabinogalactan, also known as galactoarabinan, larch arabinogalactan, and larch gum, is a biopolymer consisting of arabinose and galactose monosaccharides.  Two classes of arabinogalactans are found in nature: plant arabinogalactan and microbial arabinogalactan.  In plants, it is a major component of many gums, including gum arabic and gum ghatti. It is often found attached to proteins, and the resulting arabinogalactan protein (AGP) functions as both an intercellular signaling molecule and a glue to seal plant wounds.The microbial arabinogalactan is a major structural component of the mycobacterial cell wall.  Both the arabinose and galactose exist solely in the furanose configuration.  The galactan portion of microbial arabinogalactan is linear, consisting of approximately 30 units with alternating β-(1-5) and β-(1-6) glycosidic linkages. The arabinan chain, which consists of about 30 residues,
is attached at three branch points within the galactan chain, believed to be at residues 8, 10 and 12.
The arabinan portion of the polymer is a complex branched structure, usually capped with mycolic acids; the arabinan glycosidic linkages are α-(1-3), α-(1-5), and β-(1-2).
The mycobacterial arabinogalactan is recognized by a putative immune lectin intelectin present in chordates.",No Status Available
E410,Locust bean gum,emulsifier,"Locust bean gum (LBG, carob gum, carob bean gum, carobin, E410) is a galactomannan vegetable gum extracted from the seeds of the carob tree (Ceratonia siliqua) and used as a thickening agent (gelling agent) in food technology.",Approved in the EU
E411,Oat gum,stabiliser,No Information Available,No Status Available
E412,Guar gum,stabiliser,No Information Available,Approved in the EU
E413,Tragacanth,emulsifier,"Tragacanth is a natural gum obtained from the dried sap of several species of Middle Eastern legumes of the genus Astragalus, including A. adscendens, A. gummifer, A. brachycalyx, and A. tragacantha. Some of these species are known collectively under the common names ""goat's thorn"" and ""locoweed"". The gum is sometimes called Shiraz gum, shiraz, gum elect or gum dragon. The name derives from the Greek words tragos (meaning ""goat"") and akantha (""thorn""). Iran is the biggest producer of this gum.
Gum tragacanth is a viscous, odorless, tasteless, water-soluble mixture of polysaccharides obtained from sap that is drained from the root of the plant and dried. The gum seeps from the plant in twisted ribbons or flakes that can be powdered. It absorbs water to become a gel, which can be stirred into a paste. The major fractions are known as tragacanthin, highly water-soluble as a mucilaginous colloid, and the chemically related bassorin, which is far less soluble but swells in water to form a gel. The gum is used in vegetable-tanned leatherworking as an edge slicking and burnishing compound, and is occasionally used as a stiffener in textiles. The gum has been used historically as a herbal remedy for such conditions as cough and diarrhea. Powders using tragacanth as a basis were sometimes called diatragacanth. As a mucilage or paste, it has been used as a topical treatment for burns. It is used in pharmaceuticals and foods as an emulsifier, thickener, stabilizer, and texturant additive (E number E413). It is the traditional binder used in the making of artists' pastels, as it does not adhere to itself the same way other gums (such as gum arabic) do when dry. Gum tragacanth is also used to make a paste used in floral sugarcraft to create lifelike flowers on wires used as decorations for cakes, which air-dries brittle and can take colorings. It enables users to get a very fine, delicate finish to their work. It has traditionally been used as an adhesive in the cigar-rolling process used to secure the cap or ""flag"" leaf to the finished cigar body.In the Middle East, and in Turkey in particular, gum tragacanth is used in paper marbling to make size on which to float and shape the pigments, just as carrageenan is used in the West.
Gum tragacanth is also used in incense-making as a binder to hold all the powdered herbs together. Its water solubility is ideal for ease of working and an even spread, and it is one of the stronger gums for holding particles in suspension. Only half as much is needed, compared to gum arabic or something similar.",Approved in the EU
E414,Acacia gum,emulsifier,"Gum arabic (gum acacia, gum sudani, Senegal gum and by other names) is a natural gum originally consisting of the hardened sap of two species of the Acacia tree, Senegalia senegal and Vachellia seyal. However, the term ""gum arabic"" does not actually indicate a particular botanical source. The gum is harvested commercially from wild trees, mostly in Sudan (80%) and throughout the Sahel, from Senegal to Somalia. The name ""gum Arabic"" (al-samgh al-'arabi) was used in the Middle East at least as early as the 9th century. Gum arabic first found its way to Europe via Arabic ports, and so retained its name.Gum arabic is a complex mixture of glycoproteins and polysaccharides, predominantly polymers of arabinose and galactose. It is soluble in water, edible, and used primarily in the food industry and soft-drink industry as a stabilizer, with E number E414 (I414 in the US). Gum arabic is a key ingredient in traditional lithography and is used in printing, paints, glues, cosmetics, and various industrial applications, including viscosity control in inks and in textile industries, though less expensive materials compete with it for many of these roles.

",Approved in the EU
E415,Xanthan gum,stabiliser,"Xanthan gum () is a polysaccharide with many industrial uses, including as a common food additive. It is an effective thickening agent, emulsifier, and stabilizer that prevents ingredients from separating. It can be produced from simple sugars using a fermentation process and derives its name from the species of bacteria used, Xanthomonas campestris.",Approved in the EU
E416,Karaya gum,emulsifier,"Gum karaya or gum sterculia, also known as Indian gum tragacanth, is a vegetable gum produced as an exudate by trees of the genus Sterculia. Chemically, gum karaya is an acid polysaccharide composed of the sugars galactose, rhamnose and galacturonic acid.  It is used as a thickener and emulsifier in foods, as a laxative, and as a denture adhesive. It is also used to adulterate  Gum tragacanth due to their similar physical characteristics. As a food additive it has E number E416.
Gum karaya can be obtained from the tree Sterculia urens. It is a valuable substance and is traditionally tapped by cutting or peeling back the bark, or by making deep gashes at the base of the trunk with an axe. These crude methods of extraction often resulted in the death of the tree, but it has been found that application of the plant growth regulator ethephon stimulates the production of gum, and when used in carefully controlled amounts, increases gum yield and enhances healing of the wounds and survival of the tree.

",Approved in the EU
