Code,Name,Purpose,content,status
E200,Sorbic acid,acidity regulator,"Sorbic acid, or 2,4-hexadienoic acid, is a natural organic compound used as a food preservative. It has the chemical formula CH3(CH)4CO2H and the structure H3C−CH=CH−CH=CH−C(=O)OH. It is a colourless solid that is slightly soluble in water and sublimes readily. It was first isolated from the unripe berries of the Sorbus aucuparia (rowan tree), hence its name.",Approved in the EU
E201,Sodium sorbate,acidity regulator,"Sodium sorbate is the sodium salt of sorbic acid.  It is an unstable white solid. Unlike other sorbic acid salts such as potassium sorbate (E202) and calcium sorbate (E203), the use of sodium sorbate as a food additive is not allowed in the EU due to potential genotoxic effects.Its E-number is E201.",No Status Available
E202,Potassium sorbate,acidity regulator,"Potassium sorbate is the potassium salt of sorbic acid, chemical formula CH3CH=CH−CH=CH−CO2K.  It is a white salt that is very soluble in water (58.2% at 20 °C).  It is primarily used as a food preservative (E number 202). Potassium sorbate is effective in a variety of applications including food, wine, and personal-care products. While sorbic acid occurs naturally in rowan and hippophae berries, virtually all of the world's supply of sorbic acid, from which potassium sorbate is derived, is manufactured synthetically.",Approved in the EU
E203,Calcium sorbate,acidity regulator,"Calcium sorbate is the calcium salt of sorbic acid. Calcium sorbate is a polyunsaturated fatty acid salt. 
It is a commonly used food preservative; its E number is E203, but it is no longer allowed to be used in the European Union.",Approved in the EU
E209,Heptyl p-hydroxybenzoate,acidity regulator,No Information Available,No Status Available
E210,Benzoic acid,acidity regulator,"Benzoic acid  is a white (or colorless) solid organic compound with the formula C6H5COOH, whose structure consists of a benzene ring (C6H6) with a carboxyl (−C(=O)OH) substituent. The benzoyl group is often abbreviated ""Bz"" (not to be confused with ""Bn"" which is used for benzyl), thus benzoic acid is also denoted as BzOH, since the benzoyl group has the formula –C6H5CO. It is the simplest aromatic carboxylic acid. The name is derived from gum benzoin, which was for a long time its only source. 
Benzoic acid occurs naturally in many plants and serves as an intermediate in the biosynthesis of many secondary metabolites. Salts of benzoic acid are used as food preservatives.  Benzoic acid is an important precursor for the industrial synthesis of many other organic substances.  The salts and esters of benzoic acid are known as benzoates .

",Approved in the EU
E211,Sodium benzoate,acidity regulator,"Sodium benzoate also known as benzoate of soda is the sodium salt of benzoic acid, widely used as a food preservative (with an E number of E211) and a pickling agent. It appears as a white crystalline chemical with the formula C6H5COONa.",Approved in the EU
E212,Potassium benzoate,acidity regulator,"Potassium benzoate (E212), the potassium salt of benzoic acid, is a food preservative that inhibits the growth of mold, yeast and some bacteria. It works best in low-pH products, below 4.5, where it exists as benzoic acid. 
Acidic foods and beverages such as fruit juice (citric acid), sparkling drinks (carbonic acid), soft drinks (phosphoric acid), and pickles (vinegar) may be preserved with potassium benzoate. It is approved for use in most countries including Canada, the United States and the European Union, where it is designated by the E number E212.
Potassium benzoate is also used in the whistle in many fireworks.

",Approved in the EU
E213,Calcium benzoate,acidity regulator,"Calcium benzoate refers to the calcium salt of benzoic acid. When used in the food industry as a preservative, its E number is E213 (INS number 213); it is approved for use as a food additive in the EU, USA and Australia and New Zealand.The formulas and structures of calcium carboxylate derivatives of calcium and related metals are complex. Generally the coordination number is eight and the carboxylates form Ca-O bonds. Another variable is the degree of hydration.",Approved in the EU
E214,Ethylparaben,acidity regulator,"Ethylparaben (ethyl para-hydroxybenzoate) is the ethyl ester of p-hydroxybenzoic acid. Its formula is HO-C6H4-CO-O-CH2CH3. It is a member of the class of compounds known as parabens.
It is used as an antifungal preservative. As a food additive, it has E number E214.
Sodium ethyl para-hydroxybenzoate, the sodium salt of ethylparaben, has the same uses and is given the E number E215.

",Approved in the EU
E215,Sodium ethyl para-hydroxybenzoate,acidity regulator,"Ethylparaben (ethyl para-hydroxybenzoate) is the ethyl ester of p-hydroxybenzoic acid. Its formula is HO-C6H4-CO-O-CH2CH3. It is a member of the class of compounds known as parabens.
It is used as an antifungal preservative. As a food additive, it has E number E214.
Sodium ethyl para-hydroxybenzoate, the sodium salt of ethylparaben, has the same uses and is given the E number E215.

",Approved in the EU
E216,Propylparaben,acidity regulator,"Propylparaben, the n-propyl ester of p-hydroxybenzoic acid, occurs as a natural substance found in many plants and some insects, although it is manufactured synthetically for use in cosmetics, pharmaceuticals, and foods. It is a member of the class of parabens.  It is a preservative typically found in many water-based cosmetics, such as creams, lotions, shampoos, and bath products.  As a food additive, it has the E number E216.
Sodium propyl p-hydroxybenzoate, the sodium salt of propylparaben, a compound with formula Na(C3H7(C6H4COO)O), is also used similarly as a food additive and as an anti-fungal preservation agent. Its E number is E217.
In 2010 the European Union Scientific Committee on Consumer Safety stated that it considered the use of butylparaben and propylparaben as preservatives in finished cosmetic products as safe to the consumer, as long as the sum of their concentrations does not exceed 0.19%.

",No Status Available
E217,Sodium propyl para-hydroxybenzoate,acidity regulator,"Propylparaben, the n-propyl ester of p-hydroxybenzoic acid, occurs as a natural substance found in many plants and some insects, although it is manufactured synthetically for use in cosmetics, pharmaceuticals, and foods. It is a member of the class of parabens.  It is a preservative typically found in many water-based cosmetics, such as creams, lotions, shampoos, and bath products.  As a food additive, it has the E number E216.
Sodium propyl p-hydroxybenzoate, the sodium salt of propylparaben, a compound with formula Na(C3H7(C6H4COO)O), is also used similarly as a food additive and as an anti-fungal preservation agent. Its E number is E217.
In 2010 the European Union Scientific Committee on Consumer Safety stated that it considered the use of butylparaben and propylparaben as preservatives in finished cosmetic products as safe to the consumer, as long as the sum of their concentrations does not exceed 0.19%.

",No Status Available
E218,Methylparaben,acidity regulator,"Methylparaben (methyl paraben) one of the parabens, is a preservative with the chemical formula CH3(C6H4(OH)COO). It is the methyl ester of p-hydroxybenzoic acid.

",Approved in the EU
E219,Sodium methyl para-hydroxybenzoate,acidity regulator,"Sodium methylparaben (sodium methyl para-hydroxybenzoate) is a compound with formula Na(CH3(C6H4COO)O). It is the sodium salt of methylparaben.It is a food additive with the E number E219 which is used as a preservative.

",Approved in the EU
E220,Sulfur dioxide,acidity regulator,Sulfur dioxide (IUPAC-recommended spelling) or sulphur dioxide (traditional Commonwealth English) is the chemical compound with the formula SO2. It is a toxic gas responsible for the odor of burnt matches. It is released naturally by volcanic activity and is produced as a by-product of copper extraction and the burning of sulfur-bearing fossil fuels.,Approved in the EU
E221,Sodium sulfite,acidity regulator,"Sodium sulfide is a chemical compound with the formula Na2S, or more commonly its hydrate Na2S·9H2O. Both the anhydrous and the hydrated salts in pure crystalline form are colorless solids, although technical grades of sodium sulfide are generally yellow to brick red owing to the presence of polysulfides and commonly supplied as a crystalline mass, in flake form, or as a fused solid. They are water-soluble, giving strongly alkaline solutions.  When exposed to moist air, Na2S and its hydrates emit hydrogen sulfide, an extremely toxic, flammable and corrosive gas which smells like rotten eggs. 
Some commercial samples are specified as Na2S·xH2O, where a weight percentage of Na2S is specified. Commonly available grades have around 60% Na2S by weight, which means that x is around 3. These grades of sodium sulfide are often marketed as 'sodium sulfide flakes'.

",Approved in the EU
E222,Sodium bisulfite,acidity regulator,"Sodium sulfite (sodium sulphite) is the inorganic compound with the chemical formula Na2SO3. A white, water-soluble solid, it is used commercially as an antioxidant and preservative.  A heptahydrate is also known but it is less useful because of its greater susceptibility toward oxidation by air.",Approved in the EU
E223,Sodium metabisulfite,acidity regulator,"Sodium metabisulfite or sodium pyrosulfite (IUPAC spelling; Br. E. sodium metabisulphite or sodium pyrosulphite) is an inorganic compound of chemical formula Na2S2O5.  The substance is sometimes referred to as disodium metabisulfite.  It is used as a disinfectant, antioxidant, and preservative agent. When dissolved in water it forms sodium bisulfite.",Approved in the EU
E224,Potassium metabisulfite,acidity regulator,"Potassium metabisulfite, K2S2O5, also known as potassium pyrosulfite, is a white crystalline powder with a pungent odour. It is mainly used as an antioxidant or chemical sterilant.  As a disulfite, it is chemically very similar to sodium metabisulfite, with which it is sometimes used interchangeably.  Potassium metabisulfite has a monoclinic crystal structure.",Approved in the EU
E225,Potassium sulfite,acidity regulator,"Potassium sulfate (US) or potassium sulphate (UK), also called sulphate of potash (SOP), arcanite, or archaically potash of sulfur, is the inorganic compound with formula K2SO4, a white water-soluble solid. It is commonly used in fertilizers, providing both potassium and sulfur.",No Status Available
E226,Calcium sulfite,acidity regulator,"Calcium sulfate (or calcium sulphate) is the inorganic compound with the formula CaSO4 and related hydrates. In the form of γ-anhydrite (the anhydrous form), it is used as a desiccant. One particular hydrate is better known as plaster of Paris, and another occurs naturally as the mineral gypsum.  It has many uses in industry. All forms are white solids that are poorly soluble in water. Calcium sulfate causes permanent hardness in water.

",Approved in the EU
E227,Calcium hydrogen sulfite,acidity regulator,No Information Available,Approved in the EU
E228,Potassium hydrogen sulfite,acidity regulator,"Potassium bisulfite (or potassium hydrogen sulfite) is a chemical mixture with the approximate chemical formula KHSO3. Potassium bisulfite in fact is not a real compound, but a mixture of salts that dissolve in water to give solutions composed of potassium ions and bisulfite ions.  It is a white solid with an odor of sulfur dioxide. Attempts to crystallize potassium bisulfite yield potassium metabisulfite, K2S2O5.Potassium bisulfite is used as a sterilising agent in the production of alcoholic beverages.   This additive is classified as E number E228 under the current EU-approved food additive legislation.",Approved in the EU
E230,"Biphenyl, diphenyl",acidity regulator,"The bisphenols () are a group of chemical compounds related to diphenylmethane. Most are based on two hydroxyphenyl functional groups linked by a methylene bridge. Exceptions include bisphenol S, P, and M. ""Bisphenol"" is a common name; the letter following denotes the variant, which depends on the additional substituents. Bisphenol A is the most popular representative of the group, often simply called ""bisphenol"".

",Not approved in the EU
E231,Orthophenyl phenol,acidity regulator,"2-Phenylphenol, or o-phenylphenol, is an organic compound.  In terms of structure, it is one of the monohydroxylated isomers of biphenyl.   It is a white solid. It is a biocide used as a preservative with E number E231 and under the trade names Dowicide, Torsite, Fungal, Preventol, Nipacide and many others.",Not approved in the EU
